corpus_name, line_count, line_average, line_deviation, char_count, char_average, char_deviation
HTML2TEXT_default, 567228, 335.83658969804617, 39892.038424367485, 35886208, 21247.014801657784, 188339464.18154556
JT_lang_detect, 22526, 13.336885731201894, 306.2020793481089, 4186040, 2478.413262285376, 9447114.100380592
GOO_default, 10831, 6.412670219064535, 95.98660086282653, 2203215, 1304.449378330373, 4376072.847792675
BP3_default, 317553, 188.01243339253998, 17601.53980988676, 13951083, 8259.966252220249, 40057323.596848
NEWSPAPER_default, 12749, 7.548253404381291, 139.9883465645637, 2206597, 1306.4517465956187, 4064577.197345957
TRAF_BL_default, 1689, 1.0, 0.0, 4844509, 2868.270574304322, 9922267.444255508
READ_py_default, 26050, 15.423327412670218, 240.42529360564862, 9890753, 5855.9816459443455, 93582972.15892889
HTML-text_default, 1689, 1.0, 0.0, 12571699, 7443.2794552989935, 37372773.08353875
JT_default, 22946, 13.585553582001184, 312.18939461657965, 4242854, 2512.0509177027825, 9562918.580000633
TRAF_default, 35005, 20.725281231497927, 478.34844907721487, 4159927, 2462.9526346950856, 5561745.44003006
Corpus_detourage, 0, 0, 0, 0, 0, 0
NEWSPLEASE_default, 13768, 8.151568975725281, 105.55665976448628, 2894817, 1713.923623445826, 5126284.4684118135
INSCRIPTIS_default, 418132, 247.5618709295441, 30799.639896085133, 38072342, 22541.351095322676, 1287286084.5392554
READABILITY_default, 61942, 36.67377146240379, 6117.601686249542, 5525811, 3271.646536412078, 9246772.313784612
